RED,IR,ECG
187489,225543,2346
187764,226505,2308
187742,226504,2182
187319,225133,2194
187136,224623,2177
187306,224897,2131
187636,226234,2118
187647,226474,1975
187699,226394,1992
187121,224433,2015
186975,224480,2088
187478,225994,2069
187483,226135,2319
187643,226878,2318
187646,226970,2170
187166,225328,2149
187316,225789,2152
187280,225932,213
187446,226584,1675
187393,226557,2071
187495,226653,2089
187034,225238,2088
187165,225484,1945
187406,226522,1942
187434,226654,2128
187532,227036,2098
187432,226764,2136
187265,226160,2108
187241,226120,2099
187245,226190,2304
187289,226858,2294
187324,226918,2140
187300,226957,2140
186983,225728,2097
187104,225756,1928
187264,226714,2004
187289,226758,1885
186722,224991,1927
186761,225049,2006
187155,226433,2026
187120,226455,2231
187244,226983,2287
187204,227013,2243
187260,227077,2210
187095,226143,2211
186976,226102,1588
187220,226845,300
187244,227014,2222
186717,225173,2231
186750,225348,2144
187054,226566,2229
187089,226662,2248
187250,227307,2259
187206,227217,2179
187152,227216,2173
186962,226718,2140
186972,226617,1753
187051,227085,2041
187080,227115,2151
186673,225780,2109
186700,225933,2005
187077,226953,2045
187077,227001,2001
186891,227082,1987
186903,226486,2003
186779,225975,2059
186907,226616,1994
186985,226749,2255
187041,227201,2279
187098,227235,2187
186702,226038,2170
186780,226234,2114
186830,227052,2167
186979,227013,2235
186867,227120,2112
186825,226611,2009
186533,225673,2064
186743,226498,2020
186853,226551,2041
186863,227087,2040
186837,227182,2050
186912,227058,2093
186464,225649,2069
186478,225643,2053
186723,226774,2056
186745,226751,2249
186789,226609,2203
186579,226053,2206
186205,224892,2227
186580,226096,2218
186534,226012,2333
186735,226870,2345
186722,226844,2222
186272,225065,2231
186322,225223,2057
186675,226316,2078
186675,226548,2167
186795,226962,2160
186757,226732,2136
186555,226084,2157
186481,225816,2145
186432,225842,1711
186665,226589,2043
186712,226657,2177
186202,224924,2225
186277,225148,2046
186659,226312,2073
186607,226384,1967
186686,226407,1930
186773,227041,1965
186754,226906,1841
186537,226412,1818
186490,225886,1786
186444,225950,1925
186669,226762,347
186702,226741,2228
186088,224773,2253
186102,224951,2303
186377,225968,2343
186476,226192,2291
186454,226239,2437
186684,226930,2411
186798,227010,2249
186731,227056,2230
186178,225433,2194
186350,225621,2130
186596,226653,2193
186650,226691,2235
186659,227000,2181
186526,226363,2135
186354,226109,2191
186338,225968,802
186678,227040,489
186763,227093,2161
186615,227179,2214
185991,225000,2176
186031,225056,2094
186345,226299,2095
186358,226341,2262
186424,226514,2294
186637,227161,2259
186527,227291,2161
186143,225625,2181
186249,225898,2150
186412,226695,2237
186488,226780,2034
186471,226841,2137
185860,224866,2119
185848,224823,1934
186224,226054,1856
186196,226211,2031
186542,227233,2007
186526,227241,2001
186172,226015,2021
186196,226113,2101
186424,226936,2159
186391,226963,2091
186479,226996,2159
185769,224843,2173
185832,224937,2257
186190,226088,2285
186171,226211,2430
186402,226998,2464
186393,227010,2276
185830,225174,2323
185792,225346,2175
186208,226391,2209
186221,226434,2199
186209,226531,2143
185867,225540,2123
185742,224923,2188
185949,225601,2227
185979,225650,2250
186294,226742,2268
186225,226725,2150
185575,224707,2175
185644,224826,2089
185574,224742,2036
186006,226020,2132
186015,226067,2306
186041,226213,2277
186304,226941,2234
186193,227054,2151
185808,225439,2185
185876,225558,2223
186066,226523,1565
186090,226612,2140
186035,226480,2217
185456,224613,2167
185506,224636,2070
185871,225955,2132
185928,226101,2244
185966,226203,2227
186129,226878,2188
186114,226872,2141
185796,225647,2161
